Strategy,AUM,Relative Aplha (1Y),% of +ve months (Fund Data),Alpha (1Y),Beta (1Y),SD (1Y),Sharpe Ratio (1Y),Alpha (SI),Info Ratio (SI),Consistency Ratio
Buoyant Capital Opportunities Multi-cap,0.45344717989245276,-0.5,60.91,9.87,0.5584415584415583,14.9,0.73,7.92,2.51,61.82
Sameeksha Capital Equity Fund,0.08221519748483859,3.1,58.93,13.47,0.22077922077922074,13.2,1.1,8.3,2.22,63.39
Green Lantern Capital LLP Growth Fund,0.07886508495541772,1.83,54.35,-3.5,0.0,13.09,0.0,9.57,2.16,55.43
Stallion Asset Core Fund,0.4648470115278231,6.93,64.2,17.3,0.5584415584415583,20.66,0.89,14.67,2.14,61.73
SageOne Investment Core Portfolio,0.3636246499561908,1.56,64.24,-3.77,0.5584415584415583,20.9,,10.19,1.98,53.33
Carnelian Capital Shift,0.3473035889154225,12.6,65.52,7.27,0.5584415584415583,23.94,0.45,8.31,1.68,55.17
Equitree Capital Advisors Emerging Opportunities,0.05456903808820245,8.62,49.46,9.44,0.5714285714285714,25.55,0.39,-3.31,1.53,50.54
Samvitti Capital  Active Alpha Multicap,0.022671671792052504,-26.92,60.0,-16.55,1.0,30.12,-0.51,13.18,1.53,60.0
ValueQuest Platinum Scheme,0.28325974539144777,-10.72,56.39,-0.35,0.8961038961038961,23.32,0.03,7.59,1.47,54.89
ICICI Prudential PMS Contra Strategy,1.0,-12.67,54.32,-2.3,0.4025974025974026,14.51,-0.07,6.98,1.07,55.56
Wallfort PMS & Advisory Services LLP Wallfort Diversified Fund,0.0018777810229010233,-1.47,53.95,-6.8,0.922077922077922,32.86,,4.14,0.99,52.63
ICICI Prudential PMS Largecap Strategy,0.058008486951741205,-0.52,52.99,-2.3,0.6363636363636365,15.73,0.11,3.65,0.98,52.99
AlfAccurate Advisors IOP PMS,0.16717576923737695,-5.65,59.14,4.72,0.5194805194805194,15.61,0.38,6.88,0.97,57.53
ICICI Prudential PMS Value Strategy,0.07050698369611902,-14.32,51.85,-3.95,0.5194805194805194,15.87,-0.17,5.41,0.97,48.89
360 ONE Phoenix Portfolio,0.1515436287731716,-11.74,66.04,-1.37,0.5454545454545454,16.51,-0.01,4.18,0.93,64.15
Asit C Mehta Ace Multicap,0.0,-18.09,52.44,,0.5844155844155845,18.41,-0.35,7.04,0.91,53.66
Invasset LLP Growth Fund,0.02659130345147491,-12.27,53.85,-1.9,0.6753246753246753,23.4,-0.03,16.04,0.84,53.85
Motilal Oswal AMC Value Migration,0.31220125809610527,1.45,53.56,-0.33,0.948051948051948,23.52,0.16,4.45,0.83,53.56
Maximal Capital Pathfinder Value Fund,0.0002843300633944366,-10.84,62.16,-0.47,0.5584415584415583,19.78,0.04,15.82,0.81,64.86
Electrum  Laureate Portfolio,0.03327520744927586,6.01,52.73,6.83,0.5584415584415583,26.89,0.0,5.42,0.8,52.73
ICICI Prudential PMS Growth Leaders Strategy,0.1294775542460529,-12.32,55.97,-1.95,0.5584415584415583,16.16,-0.04,2.13,0.78,52.99
SBI Aeon Alpha PMS,0.046566564158949955,-15.72,56.1,-5.35,0.5714285714285714,18.77,-0.22,1.42,0.76,51.22
Girik Capital Multicap Growth Equity Strategy,0.12776384283677222,-11.41,56.22,-1.04,0.48051948051948057,15.98,0.01,9.19,0.75,60.54
Incred PMS Healthcare Portfolio,0.0101448279416565,18.45,50.98,,0.19480519480519476,18.46,1.63,2.18,0.74,50.98
Renaissance India Next Portfolio,0.058163107530022164,-6.15,52.33,4.22,0.6103896103896105,17.72,0.31,2.64,0.71,54.65
Alchemy Capital Management Select Stock,0.3843266273815864,-6.66,58.38,3.71,0.6883116883116884,20.77,,4.92,0.69,58.38
ValueQuest Growth Scheme,0.1504604257219922,-14.97,57.39,-4.6,0.7272727272727273,19.67,-0.17,6.92,0.61,53.41
SBI ESG Portfolio,0.046652464480217155,3.51,59.43,,0.2857142857142858,16.55,0.92,3.37,0.57,55.66
Valentis Advisors Multi-Cap,0.03179170890099129,-7.21,58.11,3.16,0.46753246753246747,17.36,1.98,7.75,0.57,58.11
Negen Capital Special Situations Fund,0.08977957977562835,-9.12,56.38,1.25,0.6493506493506493,21.71,0.12,4.93,0.57,55.32
,0.08054014122012815,,,,0.5584415584415583,,,,,
